,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
0,2023/1/1,00:20,7,8,1031,"3,70 km/sa, KB","3,00",Önemli Bulut Yok
1,2023/1/1,02:20,5,7,1031,"3,70 km/sa, K","3,00",Önemli Bulut Yok
2,04:20,04:20,,,,,,
3,06:20,06:20,,,,,,
4,08:20,08:20,,,,,,
5,2023/1/1,10:20,9,9,1032,"5,56 km/sa, KB","1,70",Çok bulutlu (213 m)
6,12:20,12:20,,,,,,
7,2023/1/1,14:20,9,12,1031,"9,26 km/sa, GB","4,10",Önemli Bulut Yok
8,2023/1/1,16:20,9,12,1031,"7,41 km/sa, B","4,00",Önemli Bulut Yok
9,18:20,18:20,,,,,,
10,2023/1/1,20:20,8,9,1032,"3,70","3,40",Önemli Bulut Yok
11,2023/1/1,22:20,7,8,1032,"5,56 km/sa, GD","0,25",Kapalı (30 m)
12,00:20,00:20,,,,,,
13,02:20,02:20,,,,,,
14,2023/1/2,04:20,7,8,1031,"1,85 km/sa","1,40",Çok bulutlu (122 m)
15,06:20,06:20,,,,,,
16,2023/1/2,08:20,5,5,1031,0 km/sa,"0,30",Önemli Bulut Yok
17,10:20,10:20,,,,,,
18,12:20,12:20,,,,,,
19,2023/1/2,14:20,6,11,1030,"11,1 km/sa, GB","9,00",Önemli Bulut Yok
20,2023/1/2,16:20,6,11,1029,"11,1 km/sa, GB","7,00",Önemli Bulut Yok
21,18:20,18:20,,,,,,
22,2023/1/2,20:20,5,7,1030,0 km/sa,"4,20",Önemli Bulut Yok
23,2023/1/2,22:20,5,7,1029,"5,56 km/sa, GB","3,00",Önemli Bulut Yok
24,00:20,00:20,,,,,,
25,2023/1/3,02:20,5,6,1028,"3,70 km/sa, B","2,90",Önemli Bulut Yok
26,2023/1/3,04:20,6,7,1028,"9,26 km/sa, GB","2,50",Önemli Bulut Yok
27,06:20,06:20,,,,,,
28,2023/1/3,08:20,4,9,1027,"18,5 km/sa, GB","7,00",Önemli Bulut Yok
29,2023/1/3,10:20,8,9,1028,"13,0 km/sa, B","2,70",Önemli Bulut Yok
30,12:20,12:20,,,,,,
31,2023/1/3,14:20,8,11,1026,"16,7 km/sa, B","5,00",Önemli Bulut Yok
32,2023/1/3,16:20,7,11,1025,"13,0 km/sa, B","5,00",Önemli Bulut Yok
33,18:20,18:20,,,,,,
34,2023/1/3,20:20,7,8,1026,"14,8 km/sa, B","3,10",Önemli Bulut Yok
35,2023/1/3,22:20,7,8,1026,"18,5 km/sa, B","3,10",Önemli Bulut Yok
36,00:20,00:20,,,,,,
37,2023/1/4,02:20,8,9,1025,"18,5 km/sa, B","8,00",Çok bulutlu (274 m)
38,2023/1/4,04:20,8,9,1026,"16,7 km/sa, B","7,00",Çok bulutlu (305 m)
39,2023/1/4,06:20,7,9,1025,"11,1 km/sa, B","6,00",Çok bulutlu (305 m)
40,2023/1/4,08:20,6,7,1026,"5,56 km/sa, KB","6,00",Çok bulutlu (305 m)
41,2023/1/4,10:20,7,9,1026,"11,1 km/sa, KB","3,40",Çok bulutlu (396 m)
42,2023/1/4,12:20,8,10,1026,"9,26 km/sa, B","4,00",Çok bulutlu (335 m)
43,2023/1/4,14:20,8,11,1025,"9,26 km/sa, KB","4,00",Çok bulutlu (366 m)
44,2023/1/4,16:20,8,11,1026,"14,8 km/sa, K","4,00",Çok bulutlu (396 m)
45,18:20,18:20,,,,,,
46,2023/1/4,20:20,8,11,1026,"13,0","10,00",Çok bulutlu (762 m)
47,2023/1/4,22:20,7,11,1026,"14,8","10,00",Çok bulutlu (610 m)
48,2023/1/5,00:20,8,10,1026,"13,0","10,00",Çok bulutlu (610 m)
49,2023/1/5,02:20,8,10,1025,"11,1","10,00",Çok bulutlu (701 m)
50,2023/1/5,04:20,8,10,1025,"9,26","10,00",Çok bulutlu (701 m)
51,2023/1/5,06:20,8,10,1024,"5,56","10,00",Çok bulutlu (701 m)
52,2023/1/5,08:20,8,10,1023,"5,56","10,00",Çok bulutlu (823 m)
53,2023/1/5,10:20,8,11,1023,0 km/sa,"9,00",Kapalı (762 m)
54,2023/1/5,12:20,7,13,1021,"5,56 km/sa","10,00",Çok bulutlu (762 m)
